dining_place_name,opening_time,parsed_timing,opening_days,mon_start_time,mon_end_time,tue_start_time,tue_end_time,wed_start_time,wed_end_time,thu_start_time,thu_end_time,fri_start_time,fri_end_time,sat_start_time,sat_end_time,sun_start_time,sun_end_time,most_common_operating_time,duration_in_hrs,breakfast,lunch,dinner,supper,mon_duration_in_hrs,tue_duration_in_hrs,wed_duration_in_hrs,thu_duration_in_hrs,fri_duration_in_hrs,sat_duration_in_hrs,sun_duration_in_hrs
Kushi Tsuru,Mon-Sun 11:30 am - 9 pm,"1130-2100,1130-2100,1130-2100,1130-2100,1130-2100,1130-2100,1130-2100",1111111,1130,2100,1130,2100,1130,2100,1130,2100,1130,2100,1130,2100,1130,2100,1130-2100,9.5,False,True,False,False,9.5,9.5,9.5,9.5,9.5,9.5,9.5
Osakaya Restaurant,"Mon-Thu, Sun 11:30 am - 9 pm  / Fri-Sat 11:30 am - 9:30 pm","1130-2100,1130-2100,1130-2100,1130-2100,1130-2130,1130-2130,1130-2100",1111111,1130,2100,1130,2100,1130,2100,1130,2100,1130,2130,1130,2130,1130,2100,1130-2100,9.5,False,True,False,False,9.5,9.5,9.5,9.5,10.0,10.0,9.5
The Stinking Rose,"Mon-Thu, Sun 11:30 am - 10 pm  / Fri-Sat 11:30 am - 11 pm","1130-2200,1130-2200,1130-2200,1130-2200,1130-2300,1130-2300,1130-2200",1111111,1130,2200,1130,2200,1130,2200,1130,2200,1130,2300,1130,2300,1130,2200,1130-2200,10.5,False,True,True,True,10.5,10.5,10.5,10.5,11.5,11.5,10.5
McCormick & Kuleto's,"Mon-Thu, Sun 11:30 am - 10 pm  / Fri-Sat 11:30 am - 11 pm","1130-2200,1130-2200,1130-2200,1130-2200,1130-2300,1130-2300,1130-2200",1111111,1130,2200,1130,2200,1130,2200,1130,2200,1130,2300,1130,2300,1130,2200,1130-2200,10.5,False,True,True,True,10.5,10.5,10.5,10.5,11.5,11.5,10.5
Mifune Restaurant,Mon-Sun 11 am - 10 pm,"1100-2200,1100-2200,1100-2200,1100-2200,1100-2200,1100-2200,1100-2200",1111111,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100-2200,11.0,False,True,True,True,11.0,11.0,11.0,11.0,11.0,11.0,11.0
The Cheesecake Factory,Mon-Thu 11 am - 11 pm  / Fri-Sat 11 am - 12:30 am  / Sun 10 am - 11 pm,"1100-2300,1100-2300,1100-2300,1100-2300,1100-1230,1100-1230,1000-2300",1111111,1100,2300,1100,2300,1100,2300,1100,2300,1100,1230,1100,1230,1000,2300,1100-2300,12.0,False,True,True,True,12.0,12.0,12.0,12.0,1.5,1.5,13.0
New Delhi Indian Restaurant,Mon-Sat 11:30 am - 10 pm  / Sun 5:30 pm - 10 pm,"1130-2200,1130-2200,1130-2200,1130-2200,1130-2200,1130-2200,1730-2200",1111111,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1730,2200,1130-2200,10.5,False,True,True,True,10.5,10.5,10.5,10.5,10.5,10.5,4.5
Iroha Restaurant,"Mon-Thu, Sun 11:30 am - 9:30 pm  / Fri-Sat 11:30 am - 10 pm","1130-2130,1130-2130,1130-2130,1130-2130,1130-2200,1130-2200,1130-2130",1111111,1130,2130,1130,2130,1130,2130,1130,2130,1130,2200,1130,2200,1130,2130,1130-2130,10.0,False,True,True,False,10.0,10.0,10.0,10.0,10.5,10.5,10.0
Rose Pistola,Mon-Thu 11:30 am - 10 pm  / Fri-Sun 11:30 am - 11 pm,"1130-2200,1130-2200,1130-2200,1130-2200,1130-2300,1130-2300,1130-2300",1111111,1130,2200,1130,2200,1130,2200,1130,2200,1130,2300,1130,2300,1130,2300,1130-2200,10.5,False,True,True,True,10.5,10.5,10.5,10.5,11.5,11.5,11.5
Alioto's Restaurant,Mon-Sun 11 am - 11 pm,"1100-2300,1100-2300,1100-2300,1100-2300,1100-2300,1100-2300,1100-2300",1111111,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100-2300,12.0,False,True,True,True,12.0,12.0,12.0,12.0,12.0,12.0,12.0
